season,season_year,player,matches,innings_batted,balls_faced,actual_runs,expected_runs,runs_above_expected,strike_rate,runs_above_expected_per_ball,runs_above_expected_per_30_balls,runs_above_expected_per_100_balls
2026,2026,Shahbaz Ahmed,1,1,16,15,20.04,-5.04,93.75,-0.31,-9.45,-31.49
2026,2026,DA Miller,3,3,52,79,84.07,-5.07,151.92,-0.1,-2.92,-9.74
2026,2026,S Arora,4,4,28,42,47.12,-5.12,150.0,-0.18,-5.48,-18.27
2026,2026,Rashid Khan,2,2,17,24,29.17,-5.17,141.18,-0.3,-9.12,-30.41
2026,2026,KH Pandya,1,1,6,1,6.24,-5.24,16.67,-0.87,-26.18,-87.26
2026,2026,Kuldeep Yadav,2,2,8,5,10.24,-5.24,62.5,-0.66,-19.66,-65.53
2026,2026,MW Short,1,1,7,2,8.1,-6.1,28.57,-0.87,-26.14,-87.13
2026,2026,M Jansen,1,1,10,9,15.25,-6.25,90.0,-0.63,-18.75,-62.51
2026,2026,JC Archer,2,2,7,3,9.47,-6.47,42.86,-0.92,-27.74,-92.47
2026,2026,Tilak Varma,4,4,29,35,41.62,-6.62,120.69,-0.23,-6.85,-22.83
2026,2026,R Tewatia,4,4,25,34,40.89,-6.89,136.0,-0.28,-8.27,-27.56
2026,2026,Abdul Samad,4,4,63,72,79.32,-7.32,114.29,-0.12,-3.49,-11.62
2026,2026,LS Livingstone,1,1,20,14,22.44,-8.44,70.0,-0.42,-12.66,-42.19
2026,2026,D Brevis,1,1,29,41,49.87,-8.87,141.38,-0.31,-9.18,-30.6
2026,2026,JM Sharma,3,3,18,15,24.71,-9.71,83.33,-0.54,-16.18,-53.94
2026,2026,Noor Ahmad,2,2,17,9,19.63,-10.63,52.94,-0.63,-18.76,-62.53
2026,2026,S Dube,5,5,66,102,115.14,-13.14,154.55,-0.2,-5.97,-19.91
2026,2026,N Wadhera,3,3,29,27,40.79,-13.79,93.1,-0.48,-14.26,-47.54
2026,2026,N Pooran,4,4,48,41,57.9,-16.9,85.42,-0.35,-10.56,-35.21
2026,2026,RK Singh,4,4,65,78,95.6,-17.6,120.0,-0.27,-8.12,-27.08
2026,2026,N Rana,3,3,26,20,38.1,-18.1,76.92,-0.7,-20.88,-69.61
2026,2026,H Klaasen,5,5,157,224,244.7,-20.7,142.68,-0.13,-3.96,-13.19
2026,2026,RA Jadeja,3,3,64,76,96.92,-20.92,118.75,-0.33,-9.81,-32.69
2026,2026,RD Gaikwad,5,5,60,63,86.49,-23.49,105.0,-0.39,-11.74,-39.14
