player,own_15_ball_phase,phase_label,runs,balls,known_control_balls,controlled_balls,uncontrolled_balls,boundaries,dots,strike_rate,control_pct,false_shot_pct,boundary_pct,dot_pct
Riyan Parag,2,16-30,25,20,20,18,2,2,6,125.0,90.0,10.0,10.0,30.0
Riyan Parag,3,31-45,30,15,15,13,2,4,2,200.0,86.67,13.33,26.67,13.33
Riyan Parag,4,46-60,13,5,5,4,1,3,1,260.0,80.0,20.0,60.0,20.0
Robin Minz,1,1-15,6,4,4,1,3,1,1,150.0,25.0,75.0,25.0,25.0
Rohit Sharma,1,1-15,116,74,74,50,24,19,32,156.76,67.57,32.43,25.68,43.24
Rohit Sharma,2,16-30,82,41,41,36,5,12,11,200.0,87.8,12.2,29.27,26.83
Rohit Sharma,3,31-45,45,22,22,17,5,7,4,204.55,77.27,22.73,31.82,18.18
Romario Shepherd,1,1-15,83,66,66,42,24,11,28,125.76,63.64,36.36,16.67,42.42
Rovman Powell,1,1-15,91,64,64,41,23,12,24,142.19,64.06,35.94,18.75,37.5
Rovman Powell,2,16-30,30,26,26,14,12,4,11,115.38,53.85,46.15,15.38,42.31
Ruturaj Gaikwad,1,1-15,169,135,135,108,27,24,60,125.19,80.0,20.0,17.78,44.44
Ruturaj Gaikwad,2,16-30,47,53,53,45,8,1,16,88.68,84.91,15.09,1.89,30.19
Ruturaj Gaikwad,3,31-45,45,30,30,28,2,6,11,150.0,93.33,6.67,20.0,36.67
Ruturaj Gaikwad,4,46-60,32,18,18,12,6,5,5,177.78,66.67,33.33,27.78,27.78
Ryan Rickelton,1,1-15,164,102,102,70,32,27,50,160.78,68.63,31.37,26.47,49.02
Ryan Rickelton,2,16-30,137,61,60,44,16,20,14,224.59,73.33,26.67,32.79,22.95
Ryan Rickelton,3,31-45,62,30,30,24,6,9,6,206.67,80.0,20.0,30.0,20.0
Ryan Rickelton,4,46-60,19,10,10,9,1,2,0,190.0,90.0,10.0,20.0,0.0
Sahil Parakh,1,1-15,13,8,8,5,3,2,4,162.5,62.5,37.5,25.0,50.0
Sai Sudharsan,1,1-15,172,128,128,97,31,28,58,134.38,75.78,24.22,21.88,45.31
Sai Sudharsan,2,16-30,122,76,76,65,11,17,18,160.53,85.53,14.47,22.37,23.68
Sai Sudharsan,3,31-45,128,61,61,49,12,17,10,209.84,80.33,19.67,27.87,16.39
Sai Sudharsan,4,46-60,18,14,14,12,2,2,4,128.57,85.71,14.29,14.29,28.57
Salil Arora,1,1-15,95,59,59,36,23,14,22,161.02,61.02,38.98,23.73,37.29
Sameer Rizvi,1,1-15,78,81,81,59,22,8,39,96.3,72.84,27.16,9.88,48.15
Sameer Rizvi,2,16-30,94,52,52,35,17,12,10,180.77,67.31,32.69,23.08,19.23
Sameer Rizvi,3,31-45,60,30,30,20,10,9,11,200.0,66.67,33.33,30.0,36.67
Sameer Rizvi,4,46-60,20,8,8,6,2,3,2,250.0,75.0,25.0,37.5,25.0
Sanju Samson,1,1-15,182,120,120,84,36,31,52,151.67,70.0,30.0,25.83,43.33
Sanju Samson,2,16-30,97,60,60,51,9,13,13,161.67,85.0,15.0,21.67,21.67
Sanju Samson,3,31-45,92,47,47,41,6,14,11,195.74,87.23,12.77,29.79,23.4
Sanju Samson,4,46-60,59,27,27,17,10,10,7,218.52,62.96,37.04,37.04,25.93
Sarfaraz Khan,1,1-15,135,78,78,53,25,25,30,173.08,67.95,32.05,32.05,38.46
Sarfaraz Khan,2,16-30,26,17,17,10,7,4,7,152.94,58.82,41.18,23.53,41.18
Shahbaz Ahmed,1,1-15,31,30,30,22,8,3,10,103.33,73.33,26.67,10.0,33.33
Shahbaz Ahmed,2,16-30,27,11,10,5,5,4,2,245.45,50.0,50.0,36.36,18.18
Shardul Thakur,1,1-15,14,19,19,9,10,1,9,73.68,47.37,52.63,5.26,47.37
Shashank Singh,1,1-15,74,40,40,24,16,11,10,185.0,60.0,40.0,27.5,25.0
Sherfane Rutherford,1,1-15,55,38,38,21,17,7,15,144.74,55.26,44.74,18.42,39.47
Sherfane Rutherford,2,16-30,42,15,15,10,5,7,6,280.0,66.67,33.33,46.67,40.0
Sherfane Rutherford,3,31-45,6,1,1,1,0,1,0,600.0,100.0,0.0,100.0,0.0
Shimron Hetmyer,1,1-15,76,63,62,47,15,8,25,120.63,75.81,24.19,12.7,39.68
Shimron Hetmyer,2,16-30,2,6,6,3,3,0,4,33.33,50.0,50.0,0.0,66.67
Shivam Dube,1,1-15,140,99,99,71,28,17,33,141.41,71.72,28.28,17.17,33.33
Shivam Dube,2,16-30,25,15,15,10,5,5,6,166.67,66.67,33.33,33.33,40.0
Shivang Kumar,1,1-15,22,16,16,11,5,4,8,137.5,68.75,31.25,25.0,50.0
Shreyas Iyer,1,1-15,173,127,127,99,28,20,40,136.22,77.95,22.05,15.75,31.5
Shreyas Iyer,2,16-30,173,92,92,66,26,26,24,188.04,71.74,28.26,28.26,26.09
Shreyas Iyer,3,31-45,46,20,20,17,3,6,2,230.0,85.0,15.0,30.0,10.0
Shubham Dubey,1,1-15,71,43,42,35,7,11,14,165.12,83.33,16.67,25.58,32.56
Shubman Gill,1,1-15,232,137,137,112,25,38,47,169.34,81.75,18.25,27.74,34.31
Shubman Gill,2,16-30,128,92,92,77,15,13,19,139.13,83.7,16.3,14.13,20.65
Shubman Gill,3,31-45,96,54,54,44,10,12,13,177.78,81.48,18.52,22.22,24.07
Shubman Gill,4,46-60,6,5,5,2,3,1,2,120.0,40.0,60.0,20.0,40.0
Sunil Narine,1,1-15,40,30,30,14,16,6,17,133.33,46.67,53.33,20.0,56.67
Sunil Narine,2,16-30,0,2,2,1,1,0,2,0.0,50.0,50.0,0.0,100.0
Suryakumar Yadav,1,1-15,139,92,92,74,18,23,33,151.09,80.43,19.57,25.0,35.87
Suryakumar Yadav,2,16-30,47,37,37,32,5,5,11,127.03,86.49,13.51,13.51,29.73
Suryakumar Yadav,3,31-45,8,6,6,3,3,0,1,133.33,50.0,50.0,0.0,16.67
Suryansh Shedge,1,1-15,68,40,40,35,5,9,10,170.0,87.5,12.5,22.5,25.0
Suryansh Shedge,2,16-30,38,16,16,11,5,6,5,237.5,68.75,31.25,37.5,31.25
T Natarajan,1,1-15,1,2,2,1,1,0,1,50.0,50.0,50.0,0.0,50.0
Tilak Varma,1,1-15,111,103,103,64,39,12,39,107.77,62.14,37.86,11.65,37.86
Tilak Varma,2,16-30,80,44,43,35,8,10,5,181.82,81.4,18.6,22.73,11.36
Tilak Varma,3,31-45,70,27,27,23,4,12,4,259.26,85.19,14.81,44.44,14.81
Tim David,1,1-15,178,103,103,71,32,26,30,172.82,68.93,31.07,25.24,29.13
Tim David,2,16-30,54,15,15,11,4,9,3,360.0,73.33,26.67,60.0,20.0
Tim Seifert,1,1-15,19,18,18,10,8,3,10,105.56,55.56,44.44,16.67,55.56
Travis Head,1,1-15,247,142,142,102,40,45,62,173.94,71.83,28.17,31.69,43.66
Travis Head,2,16-30,114,65,65,47,18,15,18,175.38,72.31,27.69,23.08,27.69
Trent Boult,1,1-15,8,4,4,2,2,1,1,200.0,50.0,50.0,25.0,25.0
Tristan Stubbs,1,1-15,148,118,118,102,16,15,39,125.42,86.44,13.56,12.71,33.05
Tristan Stubbs,2,16-30,87,63,63,55,8,8,12,138.1,87.3,12.7,12.7,19.05
Tristan Stubbs,3,31-45,34,26,26,19,7,4,8,130.77,73.08,26.92,15.38,30.77
Tristan Stubbs,4,46-60,2,2,2,2,0,0,0,100.0,100.0,0.0,0.0,0.0
Tushar Deshpande,1,1-15,26,14,14,8,6,3,5,185.71,57.14,42.86,21.43,35.71
Urvil Patel,1,1-15,105,39,39,30,9,17,11,269.23,76.92,23.08,43.59,28.21
Urvil Patel,2,16-30,5,8,8,2,6,0,4,62.5,25.0,75.0,0.0,50.0
Vaibhav Arora,1,1-15,1,3,3,1,2,0,2,33.33,33.33,66.67,0.0,66.67
Vaibhav Sooryavanshi,1,1-15,344,133,133,98,35,63,43,258.65,73.68,26.32,47.37,32.33
Vaibhav Sooryavanshi,2,16-30,70,46,46,35,11,10,19,152.17,76.09,23.91,21.74,41.3
Vaibhav Sooryavanshi,3,31-45,26,7,7,5,2,5,2,371.43,71.43,28.57,71.43,28.57
Varun Chakravarthy,1,1-15,0,1,1,0,1,0,1,0.0,0.0,100.0,0.0,100.0
Venkatesh Iyer,1,1-15,41,30,30,18,12,4,9,136.67,60.0,40.0,13.33,30.0
Vijaykumar Vyshak,1,1-15,2,4,4,2,2,0,2,50.0,50.0,50.0,0.0,50.0
Vipraj Nigam,1,1-15,15,10,10,7,3,2,2,150.0,70.0,30.0,20.0,20.0
Virat Kohli,1,1-15,233,134,134,95,39,38,40,173.88,70.9,29.1,28.36,29.85
Virat Kohli,2,16-30,81,64,64,48,16,9,19,126.56,75.0,25.0,14.06,29.69
Virat Kohli,3,31-45,65,34,34,28,6,10,9,191.18,82.35,17.65,29.41,26.47
Washington Sundar,1,1-15,194,128,128,101,27,27,36,151.56,78.91,21.09,21.09,28.12
Washington Sundar,2,16-30,48,31,31,24,7,6,8,154.84,77.42,22.58,19.35,25.81
Washington Sundar,3,31-45,4,2,2,1,1,1,1,200.0,50.0,50.0,50.0,50.0
Will Jacks,1,1-15,54,34,34,23,11,8,14,158.82,67.65,32.35,23.53,41.18
Will Jacks,2,16-30,13,7,7,5,2,2,2,185.71,71.43,28.57,28.57,28.57
Xavier Bartlett,1,1-15,11,6,6,5,1,1,1,183.33,83.33,16.67,16.67,16.67
Yashasvi Jaiswal,1,1-15,189,115,115,87,28,32,50,164.35,75.65,24.35,27.83,43.48
Yashasvi Jaiswal,2,16-30,98,71,71,53,18,13,20,138.03,74.65,25.35,18.31,28.17
Yashasvi Jaiswal,3,31-45,28,14,14,9,5,5,4,200.0,64.29,35.71,35.71,28.57
