player,shot,runs,balls,known_control_balls,controlled_balls,uncontrolled_balls,boundaries,dots,dismissals,strike_rate,control_pct,false_shot_pct,boundary_pct,dot_pct
Ajinkya Rahane,Unknown,6,1,1,1,0,1,0,0,600.0,100.0,0.0,100.0,0.0
Ajinkya Rahane,Push,3,8,8,8,0,0,5,0,37.5,100.0,0.0,0.0,62.5
Ajinkya Rahane,Dab,3,4,4,4,0,0,1,0,75.0,100.0,0.0,0.0,25.0
Ajinkya Rahane,Straight Drive,3,3,3,3,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Ajinkya Rahane,Hook,1,3,3,1,2,0,2,1,33.33,33.33,66.67,0.0,66.67
Ajinkya Rahane,Leg Glance,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Ajinkya Rahane,Defended,0,6,6,6,0,0,6,0,0.0,100.0,0.0,0.0,100.0
Ajinkya Rahane,Sweep Shot,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Akeal Hosein,Flick,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Akeal Hosein,Push,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Angkrish Raghuvanshi,Cover Drive,46,32,32,26,6,6,12,0,143.75,81.25,18.75,18.75,37.5
Angkrish Raghuvanshi,Flick,39,23,23,19,4,4,3,0,169.57,82.61,17.39,17.39,13.04
Angkrish Raghuvanshi,Cut Shot,36,23,23,21,2,7,8,0,156.52,91.3,8.7,30.43,34.78
Angkrish Raghuvanshi,Pull,34,19,19,14,5,4,4,1,178.95,73.68,26.32,21.05,21.05
Angkrish Raghuvanshi,Sweep Shot,20,10,10,6,4,4,4,0,200.0,60.0,40.0,40.0,40.0
Angkrish Raghuvanshi,On Drive,16,26,26,22,4,1,13,4,61.54,84.62,15.38,3.85,50.0
Angkrish Raghuvanshi,Slog Shot,16,4,4,3,1,3,1,1,400.0,75.0,25.0,75.0,25.0
Angkrish Raghuvanshi,Upper Cut,16,4,4,3,1,4,0,0,400.0,75.0,25.0,100.0,0.0
Angkrish Raghuvanshi,Steered,15,13,13,11,2,2,5,0,115.38,84.62,15.38,15.38,38.46
Angkrish Raghuvanshi,Square Drive,14,9,9,8,1,2,2,0,155.56,88.89,11.11,22.22,22.22
Angkrish Raghuvanshi,Push,5,7,7,7,0,0,2,0,71.43,100.0,0.0,0.0,28.57
Angkrish Raghuvanshi,Unknown,4,1,1,1,0,1,0,0,400.0,100.0,0.0,100.0,0.0
Angkrish Raghuvanshi,Dab,3,5,5,4,1,0,2,1,60.0,80.0,20.0,0.0,40.0
Angkrish Raghuvanshi,Late Cut,3,2,2,2,0,0,0,0,150.0,100.0,0.0,0.0,0.0
Angkrish Raghuvanshi,Hook,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Angkrish Raghuvanshi,Defended,0,5,5,5,0,0,5,0,0.0,100.0,0.0,0.0,100.0
Angkrish Raghuvanshi,Left Alone,0,3,3,3,0,0,3,0,0.0,100.0,0.0,0.0,100.0
Angkrish Raghuvanshi,Reverse Sweep,0,3,3,0,3,0,3,1,0.0,0.0,100.0,0.0,100.0
Angkrish Raghuvanshi,Slog Sweep,0,3,3,0,3,0,3,0,0.0,0.0,100.0,0.0,100.0
Angkrish Raghuvanshi,Straight Drive,0,2,2,1,1,0,2,0,0.0,50.0,50.0,0.0,100.0
Aniket Verma,Unknown,26,18,0,0,0,3,4,2,144.44,,,16.67,22.22
Aniket Verma,Pull,15,6,6,5,1,2,1,0,250.0,83.33,16.67,33.33,16.67
Aniket Verma,Slog Shot,13,3,3,2,1,2,0,0,433.33,66.67,33.33,66.67,0.0
Aniket Verma,Upper Cut,8,3,3,2,1,2,1,1,266.67,66.67,33.33,66.67,33.33
Aniket Verma,Cover Drive,6,3,3,2,1,1,1,0,200.0,66.67,33.33,33.33,33.33
Aniket Verma,Square Drive,4,1,1,1,0,1,0,0,400.0,100.0,0.0,100.0,0.0
Aniket Verma,Flick,3,5,5,3,2,0,2,0,60.0,60.0,40.0,0.0,40.0
