season,season_year,match_id,start_date,venue,innings,batting_team,opposition,player,balls_faced,actual_runs,expected_runs,runs_above_expected,strike_rate
2026,2026,1527676,2026-03-30,"Barsapara Cricket Stadium, Guwahati",1,Chennai Super Kings,Rajasthan Royals,Noor Ahmad,9,1,8.03,-7.03,11.11
2026,2026,1527676,2026-03-30,"Barsapara Cricket Stadium, Guwahati",1,Chennai Super Kings,Rajasthan Royals,Ruturaj Gaikwad,11,6,16.91,-10.91,54.55
2026,2026,1527676,2026-03-30,"Barsapara Cricket Stadium, Guwahati",1,Chennai Super Kings,Rajasthan Royals,Sanju Samson,7,6,8.53,-2.53,85.71
2026,2026,1527676,2026-03-30,"Barsapara Cricket Stadium, Guwahati",1,Chennai Super Kings,Rajasthan Royals,Sarfaraz Khan,12,17,13.85,3.15,141.67
2026,2026,1527676,2026-03-30,"Barsapara Cricket Stadium, Guwahati",1,Chennai Super Kings,Rajasthan Royals,Shivam Dube,4,6,3.75,2.25,150.0
2026,2026,1527676,2026-03-30,"Barsapara Cricket Stadium, Guwahati",2,Rajasthan Royals,Chennai Super Kings,Dhruv Jurel,9,18,10.95,7.05,200.0
2026,2026,1527676,2026-03-30,"Barsapara Cricket Stadium, Guwahati",2,Rajasthan Royals,Chennai Super Kings,Riyan Parag,11,14,15.71,-1.71,127.27
2026,2026,1527676,2026-03-30,"Barsapara Cricket Stadium, Guwahati",2,Rajasthan Royals,Chennai Super Kings,Vaibhav Sooryavanshi,17,52,24.24,27.76,305.88
2026,2026,1527676,2026-03-30,"Barsapara Cricket Stadium, Guwahati",2,Rajasthan Royals,Chennai Super Kings,Yashasvi Jaiswal,36,38,53.13,-15.13,105.56
2026,2026,1527677,2026-03-31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,Gujarat Titans,Punjab Kings,Glenn Phillips,17,25,22.22,2.78,147.06
2026,2026,1527677,2026-03-31,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,Gujarat Titans,Punjab Kings,Jos Buttler,33,38,44.69,-6.69,115.15
