player,line,length,runs,balls,known_control_balls,controlled_balls,uncontrolled_balls,boundaries,dots,dismissals,strike_rate,control_pct,false_shot_pct,boundary_pct,dot_pct
Tristan Stubbs,On The Stumps,Yorker,6,3,3,3,0,0,1,0,200.0,100.0,0.0,0.0,33.33
Tristan Stubbs,Outside Offstump,Full,7,4,4,4,0,1,0,0,175.0,100.0,0.0,25.0,0.0
Tristan Stubbs,Outside Offstump,Good Length,15,13,13,12,1,1,3,0,115.38,92.31,7.69,7.69,23.08
Tristan Stubbs,Outside Offstump,Short,10,2,2,2,0,2,0,0,500.0,100.0,0.0,100.0,0.0
Tristan Stubbs,Outside Offstump,Short Of A Good Length,30,25,25,20,5,3,7,0,120.0,80.0,20.0,12.0,28.0
Tristan Stubbs,Unknown,Unknown,63,42,0,0,0,7,11,1,150.0,,,16.67,26.19
Tristan Stubbs,Wide Outside Offstump,Full,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Tristan Stubbs,Wide Outside Offstump,Short Of A Good Length,2,1,1,1,0,0,0,0,200.0,100.0,0.0,0.0,0.0
Tushar Deshpande,Unknown,Unknown,25,11,0,0,0,3,3,1,227.27,,,27.27,27.27
Vaibhav Arora,On The Stumps,Good Length,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Vaibhav Arora,Outside Offstump,Good Length,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Vaibhav Arora,Outside Offstump,Short Of A Good Length,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Vaibhav Sooryavanshi,Down Leg,Full,16,3,3,3,0,3,0,0,533.33,100.0,0.0,100.0,0.0
Vaibhav Sooryavanshi,Down Leg,Full Toss,0,2,2,1,1,0,2,0,0.0,50.0,50.0,0.0,100.0
Vaibhav Sooryavanshi,Down Leg,Good Length,7,5,5,3,2,1,3,0,140.0,60.0,40.0,20.0,60.0
Vaibhav Sooryavanshi,Down Leg,Short,4,1,1,1,0,1,0,0,400.0,100.0,0.0,100.0,0.0
Vaibhav Sooryavanshi,Down Leg,Short Of A Good Length,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Vaibhav Sooryavanshi,On The Stumps,Full,16,3,3,3,0,3,0,0,533.33,100.0,0.0,100.0,0.0
Vaibhav Sooryavanshi,On The Stumps,Full Toss,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Vaibhav Sooryavanshi,On The Stumps,Good Length,6,6,6,4,2,1,3,2,100.0,66.67,33.33,16.67,50.0
Vaibhav Sooryavanshi,On The Stumps,Short,30,7,7,5,2,6,1,0,428.57,71.43,28.57,85.71,14.29
Vaibhav Sooryavanshi,On The Stumps,Short Of A Good Length,23,8,8,7,1,4,1,0,287.5,87.5,12.5,50.0,12.5
Vaibhav Sooryavanshi,Outside Offstump,Full,29,10,10,8,2,5,2,0,290.0,80.0,20.0,50.0,20.0
Vaibhav Sooryavanshi,Outside Offstump,Full Toss,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Vaibhav Sooryavanshi,Outside Offstump,Good Length,39,16,16,12,4,8,5,1,243.75,75.0,25.0,50.0,31.25
Vaibhav Sooryavanshi,Outside Offstump,Short,10,2,2,2,0,2,0,0,500.0,100.0,0.0,100.0,0.0
Vaibhav Sooryavanshi,Outside Offstump,Short Of A Good Length,19,9,9,6,3,2,1,1,211.11,66.67,33.33,22.22,11.11
Vaibhav Sooryavanshi,Unknown,Unknown,0,1,0,0,0,0,1,1,0.0,,,0.0,100.0
Varun Chakravarthy,Outside Offstump,Yorker,0,1,1,0,1,0,1,1,0.0,0.0,100.0,0.0,100.0
Venkatesh Iyer,On The Stumps,Full,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Venkatesh Iyer,On The Stumps,Good Length,1,2,2,2,0,0,1,0,50.0,100.0,0.0,0.0,50.0
