season,season_year,match_id,start_date,venue,innings,batting_team,opposition,player,own_15_ball_phase,phase_label,runs,balls,expected_runs,runs_above_expected,innings_runs,strike_rate,expected_sr,runs_above_expected_per_100,player_innings_ball_range
2026,2026,1527684,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",1,Royal Challengers Bengaluru,Chennai Super Kings,Virat Kohli,1,1-15,24,15,20.84,3.16,24,160.0,138.93,21.07,1-15
2026,2026,1527684,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",1,Royal Challengers Bengaluru,Chennai Super Kings,Virat Kohli,2,16-30,4,3,5.14,-1.14,4,133.33,171.49,-38.16,16-30
2026,2026,1527684,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",2,Chennai Super Kings,Royal Challengers Bengaluru,Anshul Kamboj,1,1-15,19,12,15.79,3.21,19,158.33,131.57,26.77,1-15
2026,2026,1527684,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",2,Chennai Super Kings,Royal Challengers Bengaluru,Ayush Mhatre,1,1-15,1,3,3.45,-2.45,1,33.33,114.89,-81.56,1-15
2026,2026,1527684,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",2,Chennai Super Kings,Royal Challengers Bengaluru,Jamie Overton,1,1-15,37,15,20.01,16.99,37,246.67,133.4,113.27,1-15
2026,2026,1527684,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",2,Chennai Super Kings,Royal Challengers Bengaluru,Jamie Overton,2,16-30,0,1,1.57,-1.57,0,0.0,157.1,-157.1,16-30
2026,2026,1527684,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",2,Chennai Super Kings,Royal Challengers Bengaluru,Kartik Sharma,1,1-15,6,3,3.02,2.98,6,200.0,100.72,99.28,1-15
2026,2026,1527684,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",2,Chennai Super Kings,Royal Challengers Bengaluru,Matt Henry,1,1-15,2,3,3.7,-1.7,2,66.67,123.22,-56.56,1-15
2026,2026,1527684,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",2,Chennai Super Kings,Royal Challengers Bengaluru,Noor Ahmad,1,1-15,8,8,9.86,-1.86,8,100.0,123.3,-23.3,1-15
2026,2026,1527684,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",2,Chennai Super Kings,Royal Challengers Bengaluru,Prashant Veer,1,1-15,17,15,18.68,-1.68,17,113.33,124.53,-11.19,1-15
2026,2026,1527684,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",2,Chennai Super Kings,Royal Challengers Bengaluru,Prashant Veer,2,16-30,26,14,22.56,3.44,26,185.71,161.12,24.6,16-30
2026,2026,1527684,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",2,Chennai Super Kings,Royal Challengers Bengaluru,Ruturaj Gaikwad,1,1-15,7,3,3.59,3.41,7,233.33,119.8,113.53,1-15
2026,2026,1527684,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",2,Chennai Super Kings,Royal Challengers Bengaluru,Sanju Samson,1,1-15,9,5,5.7,3.3,9,180.0,114.06,65.94,1-15
